ngay_quyet_dinh,so_quyet_dinh,co_quan_ban_hanh,quyet_dinh,danh_sach_doanh_nghiep
12/02/2020,546/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/32329c23-28fd-4be0-982c-1c0107f975b2/QD+546.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE32329c23-28fd-4be0-982c-1c0107f975b2,https://www.gdt.gov.vn/wps/wcm/connect/08f6df93-f690-4ffa-bdfa-b1f4e1480d98/DS+546.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE08f6df93-f690-4ffa-bdfa-b1f4e1480d98
15/01/2020,100/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/d83a259e-2d14-486b-b3d2-40577fde2660/QD+100.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEd83a259e-2d14-486b-b3d2-40577fde2660,https://www.gdt.gov.vn/wps/wcm/connect/3bc1546a-70bc-48aa-9ec7-d42563eb928a/DS+100.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE3bc1546a-70bc-48aa-9ec7-d42563eb928a
15/01/2020,98/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/0f77ed95-45cc-4611-895b-d0f9c2fb7e36/QD+98.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE0f77ed95-45cc-4611-895b-d0f9c2fb7e36,https://www.gdt.gov.vn/wps/wcm/connect/348101b7-cd93-4dc2-a8c0-01d57b0332f9/DS+98.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE348101b7-cd93-4dc2-a8c0-01d57b0332f9
14/01/2020,88/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/8406473c-6d5f-4d93-bd38-94224bf5e294/QD+88.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE8406473c-6d5f-4d93-bd38-94224bf5e294,https://www.gdt.gov.vn/wps/wcm/connect/ddb83d67-e2d8-43fc-880b-b5982317b9c6/DS+88.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEddb83d67-e2d8-43fc-880b-b5982317b9c6
14/12/2019,4358/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/fa16418b-eb18-4cbf-b5c2-249427c52e02/QD+4358.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEfa16418b-eb18-4cbf-b5c2-249427c52e02,https://www.gdt.gov.vn/wps/wcm/connect/d433547e-fff2-4be1-b9cc-89a380377038/DS+4358.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEd433547e-fff2-4be1-b9cc-89a380377038
12/12/2019,4327/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/175d530a-6807-4e4a-8956-b7921fe228bc/QD+4327.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE175d530a-6807-4e4a-8956-b7921fe228bc,https://www.gdt.gov.vn/wps/wcm/connect/6a8b2bfa-237d-43ea-989c-ef0dbb639e68/DS+4327.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE6a8b2bfa-237d-43ea-989c-ef0dbb639e68
13/12/2019,4347/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/abbe57e6-0f88-4390-ad44-b685701322c3/QD+4347.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEabbe57e6-0f88-4390-ad44-b685701322c3,https://www.gdt.gov.vn/wps/wcm/connect/67b154d9-0a19-4cae-b4ec-2ff4e3a7b694/DS+4347.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE67b154d9-0a19-4cae-b4ec-2ff4e3a7b694
14/11/2019,4056/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/4fc1c9b2-b15f-4977-bc90-e4ab679c7dff/QS+4056.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE4fc1c9b2-b15f-4977-bc90-e4ab679c7dff,https://www.gdt.gov.vn/wps/wcm/connect/f9b19ea1-db15-43ce-abd5-432de7a9cb14/DS+4056.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEf9b19ea1-db15-43ce-abd5-432de7a9cb14
14/11/2019,4055/QĐ-CT,Cục Thuế TP.HCM,https://www.gdt.gov.vn/wps/wcm/connect/9a7488a9-820a-4442-8935-f69a7f60afab/QD+4055.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE9a7488a9-820a-4442-8935-f69a7f60afab,https://www.gdt.gov.vn/wps/wcm/connect/3fb1fa23-f417-411f-9fa9-25cd84ef3712/DS+4055.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE3fb1fa23-f417-411f-9fa9-25cd84ef3712
10/01/2019,1295/QĐ-CT,Cục Thuế TP Hà Nội,https://www.gdt.gov.vn/wps/wcm/connect/d868dd75-9927-42cf-a239-cf9c30e783d0/QD+so+1295+ngay+10.01.2019.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACEd868dd75-9927-42cf-a239-cf9c30e783d0,https://www.gdt.gov.vn/wps/wcm/connect/45339e4d-58e5-4eb9-97c2-d70a71d20aba/Danh+sach+kem+QD+so+1295+ngay+10.01.2019.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE45339e4d-58e5-4eb9-97c2-d70a71d20aba
